Source,Species,Date,Month,Year,Tag,FL,STL,PCL,Wgt,Sex,Umb.Scar,Clasp.length,Clasp.calc,MOD,Yolky.ova,Uter.stage,Emb,EmbTL,Embryo,Sex.Ratio.M.F,PCL.Vert,Lat,Long,LatDeg,LatMin,LonDeg,LonMin,Depth,Depth 1,Depth 2,Reader1,Reader2,AgeAgree,Decision,Readability,Edge Analysis,MIR,MIR Note
NSW1,BTP,22/02/2009,2,2009,JG220209-2,215,257,194,,F,,,,,,C,,,FALSE,,,,,28,33,153,45,11.75,11.3,12.2,20,20,20,b/w,3,o,0.749570324,No MIR
NSW1,BTP,26/06/2009,6,2009,JG260609-22,219,256,189,,F,,,,,,C,,,FALSE,,,,,28,18,153,48,109.7,109.7,,19,17,19,b/w,3,o,0.749570324,No MIR
NSW1,BTP,28/06/2009,6,2009,JG280609-9,214,264,194,,F,,,,,,E,9,557,FALSE,4M 5F,,,,28,20,153,49,128.05,124.4,131.7,20,22,21,b/w,2,o,0.721546037,No MIR
NSW1,BTP,2/12/2008,12,2008,KH021208-2,170,195,153,,M,,230,y,,,,,,FALSE,,,,,31,51,152,49,57.5,55,60,8,9,8,Pascal,4,w,0.615571207,0
NSW1,BTP,2/12/2008,12,2008,KH021208-8,185,216,168,,M,,240,y,,,,,,FALSE,,,,,31,51,152,49,57.5,55,60,15,15,15,Agree,4,o,0.809015722,No MIR
NSW1,BTP,18/12/2008,12,2008,KH181208-11,158,189,142,,F,,,,,,B,,,FALSE,,,,,31,45,152,51,40,40,,7,11,7,Pascal,3,n,0.337777974,0
NSW1,BTP,26/05/2008,5,2008,PM260508-3,,220,164,,M,,250,y,,,,,,FALSE,,,,,,0,,0,50,45,55,15,15,15,Pascal,3,n,0.337777974,0
NSW1,BTP,27/05/2008,5,2008,PM270508-3,,216,168,,M,,190,y,,,,,,FALSE,,,,,,0,,0,82,82,,16,16,16,Agree,2,o,1.448211116,No MIR
NSW1,BTP,27/05/2009,5,2009,PM270509-2,197,240,180,,M,,140,y,,,,,,FALSE,,,,,31,36,152,57,50,45,55,18,20,18,Pascal,3,o,1.256444064,No MIR
NSW1,BTP,3/06/2009,6,2009,PS030609-10,204,254,185,,F,,,,,,D,,,FALSE,,,,,28,19,153,48,100.6,100.6,,15,16,15,Agree,3,o,0.650659407,No MIR
